ticker,company_name,current_yield,avg_yield_5y,yield_gap_ratio,market_cap,equity_ratio,consecutive_no_cut_years,per,pbr,payout_ratio,last_updated,data_quality_flag,y1_fiscal_year,y1_dividend_per_share,y1_yield,y1_is_missing,y2_fiscal_year,y2_dividend_per_share,y2_yield,y2_is_missing,y3_fiscal_year,y3_dividend_per_share,y3_yield,y3_is_missing,y4_fiscal_year,y4_dividend_per_share,y4_yield,y4_is_missing,y5_fiscal_year,y5_dividend_per_share,y5_yield,y5_is_missing
1301.T,極洋,0.027777777777777776,0.026985455616345404,0.029361081491336982,55597826048.0,36.117766288839384,9,8.125988,0.7026582,26.040000000000003,2026-09-24,,2021,70.0,0.026185467303098703,False,2022,90.0,0.02658228751746572,False,2023,100.0,0.028921525085115852,False,2024,100.0,0.025774519269977016,False,2025,130.0,0.027463478906069722,False
130A.T,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,0.0,0.0,0.0,2808920320.0,94.63974976020101,0,,2.0103068,0.0,2026-09-24,no_dividend_history,2021,0.0,0.0,True,2022,0.0,0.0,True,2023,0.0,0.0,True,2024,0.0,0.0,True,2025,0.0,0.0,True
1332.T,ニッスイ,0.02594033722438392,0.02787086390286812,-0.06926684028210317,350733893632.0,40.04221430296367,9,12.831466,1.1476619,35.49,2026-09-24,,2021,10.5,0.022043235401411454,False,2022,16.0,0.03227581202181164,False,2023,20.0,0.028271590175139256,False,2024,26.0,0.030194476032092687,False,2025,30.0,0.026569205883885564,False
1333.T,Ｕｍｉｏｓ,0.02845686301901436,0.029384474796719802,-0.031568091113508445,194799681536.0,32.89016126071236,7,8.783232,0.7857891,30.44,2026-09-24,,2021,13.333333,0.019244846025253223,False,2022,18.333332,0.024806545966096414,False,2023,33.333335000000005,0.03916173623969621,False,2024,33.333336,0.03465544635492166,False,2025,36.666668,0.0290537993976315,False
135A.T,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,0.0,0.0,0.0,50408239104.0,64.82115085536547,0,77.87989,24.16504,0.0,2026-09-24,no_dividend_history,2021,0.0,0.0,True,2022,0.0,0.0,True,2023,0.0,0.0,True,2024,0.0,0.0,True,2025,0.0,0.0,True
1375.T,ユキグニファクトリー,0.013617021276595745,0.02100040097916129,-0.35158279643765267,46862319616.0,39.19227299262326,2,15.84412,3.4173665,31.009999999999998,2026-09-24,,2021,42.0,0.03797896753954211,False,2022,30.0,0.031304655529371395,False,2023,7.0,0.007820526126222452,False,2024,13.0,0.01241482121869395,False,2025,16.0,0.015483034481976543,False
1376.T,カネコ種苗,0.02367601246105919,0.023170552275989503,0.021814766391799356,17600507904.0,49.35777791577781,8,13.368316,0.65811056,39.98,2026-09-24,,2021,28.0,0.020892804508508653,False,2022,29.0,0.02231970977462512,False,2023,31.0,0.023893817632755245,False,2024,33.0,0.024734835872868347,False,2025,38.0,0.024011593591190154,False
1377.T,サカタのタネ,0.018223234624145785,0.015884607596894966,0.14722598672868448,184997724160.0,82.32477465425458,6,15.433291,1.0395432,29.880000000000003,2026-09-24,,2021,36.0,0.011870963171322144,False,2022,47.0,0.011515211004434067,False,2023,60.0,0.016184462836651117,False,2024,70.0,0.020891582073926704,False,2025,80.0,0.018960818898140802,False
1379.T,ホクト,0.023674242424242424,0.030065152554452447,-0.21256869123265343,66249584640.0,57.08720960906037,2,11.010897,1.0270615,28.67,2026-09-24,,2021,60.0,0.035771540723459616,False,2022,60.0,0.03523932695122395,False,2023,40.0,0.024875365068452802,False,2024,50.0,0.02915758636119729,False,2025,50.0,0.02528194366792858,False
137A.T,Ｃｏｃｏｌｉｖｅ,0.0,0.0,0.0,2052155392.0,87.21976455542921,0,15.332607,5.745013,0.0,2026-09-24,no_dividend_history,2021,0.0,0.0,True,2022,0.0,0.0,True,2023,0.0,0.0,True,2024,0.0,0.0,True,2025,0.0,0.0,True
1380.T,秋川牧園,0.01002004008016032,0.00902546290143695,0.11019680536995202,4160783872.0,31.215322526406542,9,192.29286,0.18990874,191.2,2026-09-24,,2021,5.0,0.004878359022927573,False,2022,10.0,0.009936403741119081,False,2023,10.0,0.01002573991233352,False,2024,10.0,0.010274319437646564,False,2025,10.0,0.010012492393158016,False
1381.T,アクシーズ,0.03155680224403927,0.03474723779597041,-0.09181839346957033,20019863552.0,86.13758723828514,9,6.843793,0.8312862,23.040001,2026-09-24,,2021,85.0,0.030839936513099443,False,2022,95.0,0.03757896149875468,False,2023,96.5,0.037184560971488805,False,2024,98.5,0.04003788085908136,False,2025,112.5,0.028094849137427772,False
1382.T,ホーブ,0.05649717514124294,0.023593915103436204,1.3945655010437297,674033728.0,70.69412633566733,2,,0.97686327,154.13,2026-09-24,,2021,0.0,0.0,True,2022,55.0,0.035525135476242684,False,2023,50.0,0.024014840420916363,False,2024,50.0,0.02954743799330191,False,2025,50.0,0.02888216162672006,False
1383.T,ベルグアース,0.0032733224222585926,0.003294011498690938,-0.006280814878930174,4889087488.0,34.922567578518866,9,46.358116,2.2771723,15.18,2026-09-24,,2021,10.0,0.003753644017634429,False,2022,10.0,0.00347490193539991,False,2023,10.0,0.0029563611928513224,False,2024,10.0,0.0031552598937349143,False,2025,10.0,0.003129890453834116,False
1384.T,ホクリヨウ,0.03277153558052434,0.025025698601012298,0.30951531475723604,18068078592.0,74.85684984189386,6,4.677338,1.8248987,28.470000000000002,2026-09-24,,2021,10.0,0.017025735733854,False,2022,15.0,0.025034874223593944,False,2023,20.0,0.02247589147178884,False,2024,40.0,0.03633037088399283,False,2025,70.0,0.02426162069183189,False
138A.T,光フードサービス,0.012861736334405145,0.0063267638621581825,1.0329091798943408,3085120000.0,49.3908425057568,1,20.424246,2.1920133,26.26,2026-09-24,,2021,0.0,0.0,True,2022,0.0,0.0,True,2023,0.0,0.0,True,2024,40.0,0.017035279164805513,False,2025,40.0,0.014598540145985401,False
1401.T,エムビーエス,0.009454545454545455,0.009922223628959923,-0.04713441179147171,9531365376.0,75.9130836710307,4,16.971119,2.4556684,18.5,2026-09-24,,2021,3.0,0.0067425630258239255,False,2022,5.0,0.011243401947090406,False,2023,6.0,0.010518198685717349,False,2024,8.0,0.011270632414968946,False,2025,13.0,0.00983632207119899,False
1407.T,ウエストホールディングス,0.029707495429616086,0.025253595857568218,0.17636694580716838,86774226944.0,24.384365785682547,8,16.777855,2.475155,76.73,2026-09-24,,2021,50.0,0.009933768731192897,False,2022,55.0,0.014083849292059636,False,2023,55.0,0.01965638153134276,False,2024,65.0,0.038580860768797264,False,2025,65.0,0.044013118964448546,False
1414.T,ショーボンドホールディングス,0.038316831683168316,0.027851773304434523,0.3757411876200918,253172350976.0,81.37586620727033,9,16.603104,2.367846,60.129999999999995,2026-09-24,,2021,28.875,0.025428888896533455,False,2022,30.0,0.02380913167779006,False,2023,32.5,0.02262872445609765,False,2024,37.0,0.030104909905963873,False,2025,48.375,0.0372872115857876,False
1417.T,ミライト・ワン,0.022352612461581448,0.032284265926704865,-0.30763138575525617,311677321216.0,48.73428869902492,9,13.671785,1.1413479,32.47,2026-09-24,,2021,45.0,0.027486925926895247,False,2022,60.0,0.04415084008039707,False,2023,60.0,0.03491730689188443,False,2024,70.0,0.0317594716266029,False,2025,80.0,0.023106785107744693,False
1418.T,インターライフホールディングス,0.05128205128205128,0.03251755533802831,0.5770574001938718,8923559936.0,50.44755495681854,9,10.92437,1.8593919,56.00000000000001,2026-09-24,,2021,4.0,0.030516787993513973,False,2022,4.0,0.030512223675606492,False,2023,5.0,0.0280283164004142,False,2024,8.0,0.028695040323940102,False,2025,30.0,0.04483540829666679,False
1419.T,タマホーム,0.06738078783690393,0.05160659776081748,0.30566227499040965,83891732480.0,34.31211546468057,4,69.13521,2.8275883,298.61,2026-09-24,,2021,60.0,0.032319748785494304,False,2022,125.0,0.059209301411193564,False,2023,180.0,0.052100189976875454,False,2024,190.0,0.05800293964836761,False,2025,195.0,0.05640080898215648,False
141A.T,トライアルホールディングス,0.004407713498622589,0.0021648546565575465,1.0360320658346343,445664100352.0,42.00137869942687,1,127.50264,3.4046147,59.540004,2026-09-24,,2021,0.0,0.0,True,2022,0.0,0.0,True,2023,0.0,0.0,True,2024,15.0,0.005633087937050242,False,2025,16.0,0.005191185345737491,False
1420.T,サンヨーホームズ,0.039619651347068144,0.038259862862519464,0.03554086143577817,7825465856.0,35.592429918553,9,5.1438823,0.48418906,20.380000000000003,2026-09-24,,2021,25.0,0.040221489214385744,False,2022,25.0,0.04069653874745671,False,2023,25.0,0.03750213101098457,False,2024,25.0,0.036570253099007535,False,2025,25.0,0.03630890224076277,False
1429.T,日本アクア,0.04375,0.038425806868878344,0.1385577445202275,25727623168.0,45.07451516701631,9,13.454423,2.2810414,58.86,2026-09-24,,2021,20.0,0.03381814470198741,False,2022,24.0,0.032706781082508816,False,2023,32.0,0.039216155600820514,False,2024,34.0,0.045831753654324105,False,2025,35.0,0.04055619930475087,False
